slug,showcased,title,series_name,release_date,japanese_title,url,runtime,poster_url,transliteration,translation,aliases_json
gamera-vs-barugon-1966,TRUE,Gamera vs. Barugon,Gamera,1966-04-17,大怪獣決闘 ガメラ対バルゴン,/films/gamera-vs-barugon-1966,101,/static/images/films/posters/gamera-vs-barugon-1966.webp,Daikaijû Kettô Gamera Tai Barugon,Giant Monster Duel Gamera vs. Barugon,"[{""alias"":""War of the Monsters"",""context"":""American Theatrical Release""}]"
gamera-vs-guiron-1969,TRUE,Gamera vs. Guiron,Gamera,1969-03-21,ガメラ対大悪獣ギロン,/films/gamera-vs-guiron-1969,82,/static/images/films/posters/gamera-vs-guiron-1969.webp,Gamera Tai Daiwarujû Giron,Gamera vs. Giant Evil Beast Guiron,"[{""alias"":""Attack of the Monsters"",""context"":""American Theatrical Release""}]"
gamera-vs-gyaos-1967,TRUE,Gamera vs. Gyaos,Gamera,1967-03-15,大怪獣空中戦 ガメラ対ギャオス,/films/gamera-vs-gyaos-1967,87,/static/images/films/posters/gamera-vs-gyaos-1967.webp,Daikaijû Kûchûsen Gamera Tai Gyaosu,Giant Monsters Aerial Battle Gamera vs. Gyaos,"[{""alias"":""The Return of the Giant Monsters"",""context"":""American Theatrical Release""},{""alias"":""Gamera vs. Gaos"",""context"":""American Home Video""}]"
gamera-vs-jiger-1970,TRUE,Gamera vs. Jiger,Gamera,1970-03-21,ガメラ対大魔獣ジャイガー,/films/gamera-vs-jiger-1970,83,/static/images/films/posters/gamera-vs-jiger-1970.webp,Gamera Tai Daimajû Jaigâ,Gamera vs. Giant Demon Beast Jiger,"[{""alias"":""Gamera vs. Monster X"",""context"":""American Theatrical Release""}]"
gamera-vs-viras-1968,TRUE,Gamera vs. Viras,Gamera,1968-03-20,ガメラ対宇宙怪獣バイラス,/films/gamera-vs-viras-1968,72,/static/images/films/posters/gamera-vs-viras-1968.webp,Gamera Tai Uchû Kaijû Bairasu,Gamera vs. Space Monster Viras,"[{""alias"":""Destroy All Planets"",""context"":""American Theatrical Release""}]"
gamera-vs-zigra-1971,TRUE,Gamera vs. Zigra,Gamera,1971-07-17,ガメラ対深海怪獣ジグラ,/films/gamera-vs-zigra-1971,88,/static/images/films/posters/gamera-vs-zigra-1971.webp,Gamera Tai Shinkai Kaijû Jigura,Gamera vs. Deep Sea Monster Zigra,[]
gantz-2011,TRUE,Gantz,Gantz,2011-01-29,GANTZ,/films/gantz-2011,130,/static/images/films/posters/gantz-2011.webp,,,[]
gantz-perfect-answer-2011,TRUE,Gantz: Perfect Answer,Gantz,2011-04-23,GANTZ PERFECT ANSWER,/films/gantz-perfect-answer-2011,141,/static/images/films/posters/gantz-perfect-answer-2011.webp,,,[]
gatchaman-2013,TRUE,Gatchaman,,2013-08-24,ガッチャマン,/films/gatchaman-2013,113,/static/images/films/posters/gatchaman-2013.webp,Gatchaman,Gatchaman,[]
genghis-khan-to-the-ends-of-the-earth-and-sea-2007,TRUE,Genghis Khan: To the Ends of the Earth and Sea,,2007-03-03,蒼き狼 地果て海尽きるまで,/films/genghis-khan-to-the-ends-of-the-earth-and-sea-2007,136,/static/images/films/posters/genghis-khan-to-the-ends-of-the-earth-and-sea-2007.webp,Aoki Ôkami Chi Hate Umi Tsukiru Made,Blue Wolf To the Ends of the Earth and Sea,[]
genocide-1968,TRUE,Genocide,,1968-11-09,昆虫大戦争,/films/genocide-1968,84,/static/images/films/posters/genocide-1968.webp,Konchû Daisensô,Insect Great War,[]
ghidorah-the-three-headed-monster-1964,TRUE,"Ghidorah, the Three-Headed Monster",Godzilla,1964-12-20,三大怪獣 地球最大の決戦,/films/ghidorah-the-three-headed-monster-1964,93,/static/images/films/posters/ghidorah-the-three-headed-monster-1964.webp,San Daikaijû Chikyû Saidai No Kessen,Three Giant Monsters,"[{""alias"":""Ghidrah, the Three-Headed Monster"",""context"":""American Theatrical Release""}]"
ghost-in-the-shell-1995,TRUE,Ghost in the Shell,Ghost in the Shell,1995-11-18,GHOST IN THE SHELL / 攻殻機動隊,/films/ghost-in-the-shell-1995,85,/static/images/films/posters/ghost-in-the-shell-1995.webp,Ghost in the Shell / Kôkaku Kidôtai,Shell Squad,[]
ghost-in-the-shell-2-innocence-2004,FALSE,Ghost in the Shell 2: Innocence,Ghost in the Shell,2004-03-06,イノセンス,,,,,,
glorious-team-batista-2008,TRUE,The Glorious Team Batista,Team Batista,2008-02-09,チーム・バチスタの栄光,/films/glorious-team-batista-2008,118,/static/images/films/posters/glorious-team-batista-2008.webp,Chîmu Bachisuta No Eikô,Glory of Team Batista,[]
go-go-young-guy-1967,FALSE,Go! Go! Young Guy,Young Guy,1967-12-13,ゴー!ゴー!若大将,,,,,,
gods-left-hand-devils-right-hand-2006,TRUE,"God's Left Hand, Devil's Right Hand",,2006-07-22,神の左手悪魔の右手,/films/gods-left-hand-devils-right-hand-2006,95,/static/images/films/posters/gods-left-hand-devils-right-hand-2006.webp,Kami No Hidarite Akuma No Migite,God's Left Hand Devil's Right Hand,[]
godzilla-1954,TRUE,Godzilla,Godzilla,1954-11-03,ゴジラ,/films/godzilla-1954,97,/static/images/films/posters/godzilla-1954.webp,Gojira,Godzilla,"[{""alias"":""Godzilla, King of the Monsters!"",""context"":""American Theatrical Release""}]"
godzilla-2000-millennium-1999,TRUE,Godzilla 2000: Millennium,Godzilla,1999-12-11,ゴジラ2000 ミレニアム,/films/godzilla-2000-millennium-1999,108,/static/images/films/posters/godzilla-2000-millennium-1999.webp,Gojira Ni-sen Mireniamu,Godzilla 2000 Millennium,"[{""alias"":""Godzilla 2000"",""context"":""American Theatrical Release""}]"
godzilla-against-mechagodzilla-2002,TRUE,Godzilla Against Mechagodzilla,Godzilla,2002-12-14,ゴジラ×メカゴジラ,/films/godzilla-against-mechagodzilla-2002,88,/static/images/films/posters/godzilla-against-mechagodzilla-2002.webp,Gojira × Mekagojira,Godzilla × Mechagodzilla,[]
godzilla-final-wars-2004,TRUE,Godzilla: Final Wars,Godzilla,2004-12-04,ゴジラ FINAL WARS,/films/godzilla-final-wars-2004,125,/static/images/films/posters/godzilla-final-wars-2004.webp,Gojira Final Wars,Godzilla Final Wars,[]
godzilla-minus-one-2023,FALSE,Godzilla Minus One,Godzilla,2023-11-03,ゴジラ-1.0,,125
godzilla-minus-zero-2026,FALSE,Godzilla Minus Zero,Godzilla,2026-11-03,ゴジラ-0.0
godzilla-mothra-and-king-ghidorah-giant-monsters-all-out-attack-2001,TRUE,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",Godzilla,2001-12-15,ゴジラ・モスラ・キングギドラ 大怪獣総攻撃,/films/godzilla-mothra-and-king-ghidorah-giant-monsters-all-out-attack-2001,105,/static/images/films/posters/godzilla-mothra-and-king-ghidorah-giant-monsters-all-out-attack-2001.webp,Gojira Mosura Kingugidora Daikaijû Sôkôgeki,Godzilla Mothra King Ghidorah Giant Monsters All-Out Attack,[]
godzilla-raids-again-1955,TRUE,Godzilla Raids Again,Godzilla,1955-04-24,ゴジラの逆襲,/films/godzilla-raids-again-1955,82,/static/images/films/posters/godzilla-raids-again-1955.webp,Gojira No Gyakushû,Godzilla Strikes Back,"[{""alias"":""Gigantis, the Fire Monster"",""context"":""American Theatrical Release""}]"
godzilla-tokyo-sos-2003,TRUE,Godzilla: Tokyo S.O.S.,Godzilla,2003-12-13,ゴジラ×モスラ×メカゴジラ 東京SOS,/films/godzilla-tokyo-sos-2003,91,/static/images/films/posters/godzilla-tokyo-sos-2003.webp,Gojira × Mosura × Mekagojira Tôkyô SOS,Godzilla × Mothra × Mechagodzilla Tokyo SOS,[]
godzilla-vs-biollante-1989,TRUE,Godzilla vs. Biollante,Godzilla,1989-12-16,ゴジラvsビオランテ,/films/godzilla-vs-biollante-1989,105,/static/images/films/posters/godzilla-vs-biollante-1989.webp,Gojira vs Biorante,Godzilla vs Biollante,[]
godzilla-vs-destoroyah-1995,TRUE,Godzilla vs. Destoroyah,Godzilla,1995-12-09,ゴジラvsデストロイア,/films/godzilla-vs-destoroyah-1995,103,/static/images/films/posters/godzilla-vs-destoroyah-1995.webp,Gojira vs Desutoroia,Godzilla vs Destoroyah,[]
godzilla-vs-gigan-1972,TRUE,Godzilla vs. Gigan,Godzilla,1972-03-12,地球攻撃命令 ゴジラ対ガイガン,/films/godzilla-vs-gigan-1972,89,/static/images/films/posters/godzilla-vs-gigan-1972.webp,Chikyû Kôgeki Meirei Gojira Tai Gaigan,Earth Attack Order Godzilla vs. Gigan,"[{""alias"":""Godzilla on Monster Island"",""context"":""American Theatrical Release""}]"
godzilla-vs-hedorah-1971,TRUE,Godzilla vs. Hedorah,Godzilla,1971-07-24,ゴジラ対ヘドラ,/films/godzilla-vs-hedorah-1971,85,/static/images/films/posters/godzilla-vs-hedorah-1971.webp,Gojira Tai Hedora,Godzilla vs. Hedorah,"[{""alias"":""Godzilla vs. the Smog Monster"",""context"":""American Theatrical Release""}]"
godzilla-vs-king-ghidorah-1991,TRUE,Godzilla vs. King Ghidorah,Godzilla,1991-12-14,ゴジラvsキングギドラ,/films/godzilla-vs-king-ghidorah-1991,103,/static/images/films/posters/godzilla-vs-king-ghidorah-1991.webp,Gojira vs Kingugidora,Godzilla vs King Ghidorah,[]
